No.;Type;Name;Date/Time;Note;400,00;402,00;404,00;406,00;408,00;410,00;412,00;414,00;416,00;418,00;420,00;422,00;424,00;426,00;428,00;430,00;432,00;434,00;436,00;438,00;440,00;442,00;444,00;446,00;448,00;450,00;452,00;454,00;456,00;458,00;460,00;462,00;464,00;466,00;468,00;470,00;472,00;474,00;476,00;478,00;480,00;482,00;484,00;486,00;488,00;490,00;492,00;494,00;496,00;498,00;500,00;502,00;504,00;506,00;508,00;510,00;512,00;514,00;516,00;518,00;520,00;522,00;524,00;526,00;528,00;530,00;532,00;534,00;536,00;538,00;540,00;542,00;544,00;546,00;548,00;550,00;552,00;554,00;556,00;558,00;560,00;562,00;564,00;566,00;568,00;570,00;572,00;574,00;576,00;578,00;580,00;582,00;584,00;586,00;588,00;590,00;592,00;594,00;596,00;598,00;600,00;602,00;604,00;606,00;608,00;610,00;612,00;614,00;616,00;618,00;620,00;622,00;624,00;626,00;628,00;630,00;632,00;634,00;636,00;638,00;640,00;642,00;644,00;646,00;648,00;650,00;652,00;654,00;656,00;658,00;660,00;662,00;664,00;666,00;668,00;670,00;672,00;674,00;676,00;678,00;680,00;682,00;684,00;686,00;688,00;690,00;692,00;694,00;696,00;698,00;700,00;702,00;704,00;706,00;708,00;710,00;712,00;714,00;716,00;718,00;720,00;722,00;724,00;726,00;728,00;730,00;732,00;734,00;736,00;738,00;740,00;742,00;744,00;746,00;748,00;750,00;
1;Sample;WT_1;2024.03.13 12:37;;0,3995;0,4130;0,4261;0,4413;0,4585;0,4766;0,4949;0,5119;0,5267;0,5392;0,5495;0,5584;0,5670;0,5757;0,5852;0,5955;0,6060;0,6149;0,6211;0,6226;0,6184;0,6073;0,5901;0,5674;0,5408;0,5121;0,4836;0,4573;0,4349;0,4172;0,4045;0,3969;0,3940;0,3951;0,3988;0,4014;0,4067;0,4088;0,4078;0,4027;0,3934;0,3802;0,3639;0,3458;0,3270;0,3086;0,2915;0,2763;0,2634;0,2524;0,2427;0,2337;0,2244;0,2141;0,2025;0,1897;0,1761;0,1623;0,1488;0,1361;0,1245;0,1140;0,1051;0,0975;0,0913;0,0862;0,0821;0,0788;0,0761;0,0739;0,0722;0,0707;0,0696;0,0687;0,0681;0,0676;0,0674;0,0674;0,0677;0,0683;0,0691;0,0701;0,0713;0,0726;0,0739;0,0753;0,0766;0,0778;0,0791;0,0804;0,0817;0,0828;0,0839;0,0849;0,0858;0,0868;0,0880;0,0895;0,0915;0,0940;0,0969;0,1003;0,1041;0,1079;0,1117;0,1151;0,1180;0,1200;0,1211;0,1215;0,1210;0,1200;0,1188;0,1175;0,1163;0,1154;0,1149;0,1148;0,1152;0,1160;0,1176;0,1202;0,1245;0,1315;0,1422;0,1578;0,1789;0,2059;0,2378;0,2730;0,3083;0,3389;0,3590;0,3651;0,3558;0,3329;0,2991;0,2584;0,2154;0,1752;0,1409;0,1136;0,0929;0,0776;0,0663;0,0584;0,0529;0,0492;0,0466;0,0449;0,0438;0,0427;0,0420;0,0414;0,0410;0,0406;0,0403;0,0401;0,0399;0,0397;0,0395;0,0393;0,0392;0,0390;0,0389;0,0388;0,0387;0,0385;0,0385;0,0384;0,0383;0,0382;0,0381;0,0380;0,0379;0,0378;
2;Sample;WT_2;2024.03.13 12:38;;0,3197;0,3321;0,3440;0,3581;0,3740;0,3909;0,4079;0,4237;0,4375;0,4492;0,4590;0,4674;0,4753;0,4836;0,4926;0,5022;0,5118;0,5204;0,5262;0,5280;0,5244;0,5146;0,4992;0,4786;0,4544;0,4285;0,4026;0,3788;0,3584;0,3422;0,3306;0,3234;0,3207;0,3215;0,3248;0,3272;0,3322;0,3343;0,3335;0,3291;0,3207;0,3088;0,2941;0,2776;0,2604;0,2434;0,2276;0,2134;0,2013;0,1908;0,1816;0,1730;0,1641;0,1546;0,1440;0,1325;0,1204;0,1081;0,0961;0,0848;0,0745;0,0653;0,0574;0,0508;0,0453;0,0409;0,0374;0,0345;0,0322;0,0303;0,0288;0,0276;0,0267;0,0259;0,0254;0,0251;0,0250;0,0251;0,0255;0,0260;0,0268;0,0278;0,0289;0,0301;0,0313;0,0325;0,0337;0,0349;0,0361;0,0373;0,0385;0,0396;0,0406;0,0415;0,0423;0,0432;0,0443;0,0457;0,0475;0,0499;0,0526;0,0557;0,0592;0,0627;0,0661;0,0692;0,0718;0,0737;0,0748;0,0751;0,0748;0,0740;0,0730;0,0719;0,0709;0,0702;0,0698;0,0699;0,0703;0,0712;0,0727;0,0751;0,0791;0,0854;0,0951;0,1091;0,1281;0,1523;0,1809;0,2125;0,2443;0,2719;0,2902;0,2958;0,2877;0,2672;0,2370;0,2006;0,1622;0,1262;0,0956;0,0712;0,0527;0,0391;0,0291;0,0221;0,0172;0,0140;0,0117;0,0102;0,0091;0,0083;0,0077;0,0072;0,0069;0,0067;0,0065;0,0063;0,0062;0,0060;0,0059;0,0058;0,0057;0,0057;0,0056;0,0055;0,0055;0,0054;0,0053;0,0053;0,0053;0,0052;0,0052;0,0052;0,0051;0,0051;
3;Sample;WT_3;2024.03.13 12:39;;0,3420;0,3549;0,3676;0,3826;0,3994;0,4172;0,4351;0,4519;0,4664;0,4786;0,4889;0,4976;0,5060;0,5147;0,5243;0,5346;0,5449;0,5539;0,5598;0,5612;0,5564;0,5452;0,5274;0,5043;0,4774;0,4487;0,4205;0,3946;0,3725;0,3552;0,3428;0,3352;0,3322;0,3329;0,3363;0,3387;0,3438;0,3459;0,3450;0,3404;0,3318;0,3195;0,3043;0,2874;0,2698;0,2526;0,2365;0,2222;0,2100;0,1995;0,1903;0,1816;0,1727;0,1631;0,1524;0,1408;0,1285;0,1161;0,1040;0,0926;0,0822;0,0729;0,0649;0,0583;0,0528;0,0484;0,0448;0,0419;0,0396;0,0376;0,0361;0,0349;0,0339;0,0331;0,0326;0,0323;0,0322;0,0323;0,0327;0,0333;0,0341;0,0352;0,0363;0,0376;0,0389;0,0402;0,0415;0,0428;0,0441;0,0453;0,0466;0,0477;0,0487;0,0497;0,0506;0,0516;0,0527;0,0542;0,0562;0,0586;0,0615;0,0649;0,0685;0,0723;0,0760;0,0793;0,0820;0,0840;0,0852;0,0856;0,0853;0,0844;0,0833;0,0821;0,0811;0,0803;0,0800;0,0800;0,0804;0,0813;0,0829;0,0855;0,0898;0,0965;0,1067;0,1216;0,1418;0,1677;0,1982;0,2320;0,2661;0,2959;0,3156;0,3216;0,3129;0,2908;0,2584;0,2194;0,1782;0,1399;0,1072;0,0812;0,0616;0,0471;0,0365;0,0290;0,0239;0,0204;0,0180;0,0164;0,0153;0,0144;0,0137;0,0133;0,0129;0,0126;0,0124;0,0122;0,0120;0,0119;0,0117;0,0116;0,0115;0,0114;0,0113;0,0113;0,0112;0,0111;0,0110;0,0110;0,0109;0,0109;0,0108;0,0108;0,0107;0,0107;
4;Sample;delta-rbp1 #4_1;2024.03.13 12:40;;0,3986;0,4146;0,4304;0,4488;0,4692;0,4913;0,5131;0,5337;0,5515;0,5666;0,5791;0,5900;0,6004;0,6111;0,6228;0,6352;0,6474;0,6582;0,6650;0,6663;0,6603;0,6463;0,6246;0,5965;0,5639;0,5293;0,4950;0,4636;0,4366;0,4152;0,3995;0,3895;0,3850;0,3851;0,3885;0,3911;0,3971;0,3998;0,3991;0,3940;0,3842;0,3699;0,3520;0,3318;0,3104;0,2891;0,2690;0,2507;0,2347;0,2208;0,2086;0,1972;0,1858;0,1739;0,1610;0,1473;0,1330;0,1187;0,1048;0,0919;0,0800;0,0695;0,0605;0,0530;0,0468;0,0418;0,0378;0,0345;0,0319;0,0297;0,0280;0,0266;0,0255;0,0247;0,0241;0,0237;0,0237;0,0239;0,0244;0,0252;0,0263;0,0275;0,0290;0,0306;0,0322;0,0338;0,0354;0,0370;0,0386;0,0402;0,0417;0,0432;0,0445;0,0457;0,0468;0,0480;0,0494;0,0513;0,0536;0,0567;0,0603;0,0644;0,0689;0,0736;0,0781;0,0822;0,0856;0,0881;0,0896;0,0901;0,0897;0,0887;0,0873;0,0859;0,0847;0,0837;0,0833;0,0834;0,0839;0,0851;0,0871;0,0903;0,0956;0,1038;0,1165;0,1348;0,1596;0,1914;0,2289;0,2704;0,3124;0,3489;0,3732;0,3807;0,3700;0,3430;0,3032;0,2553;0,2048;0,1578;0,1177;0,0858;0,0617;0,0439;0,0309;0,0217;0,0154;0,0111;0,0082;0,0063;0,0049;0,0038;0,0031;0,0025;0,0021;0,0018;0,0015;0,0013;0,0012;0,0011;0,0009;0,0008;0,0008;0,0007;0,0007;0,0006;0,0006;0,0005;0,0005;0,0004;0,0004;0,0004;0,0003;0,0003;0,0003;0,0003;
5;Sample;delta-rbp1 #4_2;2024.03.13 12:41;;0,3739;0,3883;0,4025;0,4189;0,4373;0,4569;0,4766;0,4948;0,5107;0,5241;0,5350;0,5447;0,5536;0,5631;0,5733;0,5841;0,5947;0,6039;0,6095;0,6103;0,6048;0,5920;0,5727;0,5474;0,5182;0,4871;0,4563;0,4279;0,4033;0,3835;0,3688;0,3592;0,3546;0,3542;0,3568;0,3589;0,3641;0,3667;0,3662;0,3619;0,3533;0,3407;0,3247;0,3064;0,2869;0,2673;0,2485;0,2313;0,2162;0,2029;0,1911;0,1803;0,1696;0,1586;0,1469;0,1346;0,1220;0,1095;0,0974;0,0861;0,0757;0,0666;0,0588;0,0523;0,0470;0,0427;0,0393;0,0365;0,0343;0,0325;0,0310;0,0298;0,0289;0,0282;0,0277;0,0275;0,0275;0,0277;0,0283;0,0290;0,0300;0,0312;0,0326;0,0341;0,0356;0,0371;0,0386;0,0400;0,0415;0,0430;0,0444;0,0457;0,0469;0,0480;0,0491;0,0501;0,0514;0,0531;0,0553;0,0581;0,0614;0,0652;0,0694;0,0737;0,0778;0,0816;0,0847;0,0870;0,0884;0,0888;0,0884;0,0875;0,0862;0,0848;0,0837;0,0828;0,0824;0,0824;0,0829;0,0839;0,0858;0,0887;0,0936;0,1012;0,1129;0,1297;0,1526;0,1818;0,2163;0,2543;0,2926;0,3259;0,3479;0,3547;0,3449;0,3202;0,2839;0,2401;0,1938;0,1506;0,1137;0,0843;0,0620;0,0456;0,0335;0,0251;0,0192;0,0153;0,0126;0,0108;0,0095;0,0084;0,0077;0,0072;0,0068;0,0065;0,0063;0,0061;0,0059;0,0058;0,0056;0,0055;0,0055;0,0054;0,0053;0,0053;0,0052;0,0052;0,0051;0,0051;0,0050;0,0050;0,0049;0,0049;0,0049;0,0049;
6;Sample;delta-rbp1 #4_3;2024.03.13 12:41;;0,4105;0,4235;0,4360;0,4507;0,4673;0,4848;0,5022;0,5185;0,5325;0,5445;0,5543;0,5629;0,5710;0,5796;0,5886;0,5984;0,6082;0,6166;0,6220;0,6232;0,6188;0,6080;0,5911;0,5691;0,5436;0,5163;0,4893;0,4644;0,4429;0,4260;0,4135;0,4057;0,4026;0,4028;0,4058;0,4073;0,4121;0,4141;0,4133;0,4089;0,4006;0,3887;0,3738;0,3571;0,3395;0,3221;0,3057;0,2909;0,2779;0,2667;0,2568;0,2474;0,2380;0,2280;0,2174;0,2060;0,1942;0,1824;0,1707;0,1599;0,1498;0,1409;0,1332;0,1266;0,1213;0,1169;0,1135;0,1106;0,1084;0,1066;0,1051;0,1039;0,1030;0,1023;0,1018;0,1015;0,1014;0,1016;0,1019;0,1025;0,1033;0,1044;0,1055;0,1068;0,1081;0,1093;0,1106;0,1118;0,1131;0,1143;0,1155;0,1166;0,1177;0,1186;0,1195;0,1204;0,1215;0,1230;0,1249;0,1273;0,1302;0,1335;0,1371;0,1408;0,1445;0,1478;0,1504;0,1524;0,1536;0,1539;0,1536;0,1527;0,1516;0,1504;0,1494;0,1487;0,1484;0,1483;0,1487;0,1496;0,1512;0,1538;0,1580;0,1647;0,1750;0,1898;0,2098;0,2354;0,2657;0,2990;0,3325;0,3615;0,3806;0,3864;0,3776;0,3559;0,3241;0,2855;0,2450;0,2072;0,1750;0,1493;0,1298;0,1155;0,1050;0,0976;0,0925;0,0891;0,0868;0,0851;0,0835;0,0825;0,0819;0,0815;0,0812;0,0809;0,0807;0,0806;0,0804;0,0803;0,0802;0,0801;0,0800;0,0799;0,0799;0,0798;0,0798;0,0797;0,0796;0,0796;0,0795;0,0795;0,0795;0,0795;0,0794;0,0794;
7;Sample;delta-rbp1 #6_1;2024.03.13 12:42;;0,4977;0,5178;0,5378;0,5609;0,5867;0,6143;0,6419;0,6676;0,6903;0,7094;0,7253;0,7392;0,7524;0,7661;0,7808;0,7965;0,8120;0,8255;0,8343;0,8366;0,8301;0,8138;0,7882;0,7548;0,7158;0,6742;0,6329;0,5949;0,5621;0,5358;0,5164;0,5039;0,4980;0,4978;0,5013;0,5040;0,5109;0,5138;0,5127;0,5062;0,4939;0,4759;0,4535;0,4280;0,4010;0,3738;0,3478;0,3239;0,3027;0,2838;0,2670;0,2512;0,2356;0,2196;0,2027;0,1851;0,1670;0,1492;0,1321;0,1161;0,1016;0,0888;0,0778;0,0686;0,0611;0,0551;0,0502;0,0462;0,0430;0,0403;0,0382;0,0365;0,0352;0,0341;0,0334;0,0329;0,0329;0,0331;0,0337;0,0346;0,0359;0,0374;0,0391;0,0410;0,0430;0,0449;0,0469;0,0488;0,0507;0,0526;0,0544;0,0562;0,0577;0,0592;0,0605;0,0619;0,0636;0,0659;0,0687;0,0724;0,0768;0,0818;0,0872;0,0928;0,0983;0,1033;0,1074;0,1105;0,1122;0,1128;0,1124;0,1111;0,1094;0,1077;0,1062;0,1051;0,1046;0,1046;0,1053;0,1067;0,1091;0,1131;0,1194;0,1295;0,1450;0,1673;0,1975;0,2361;0,2817;0,3320;0,3828;0,4270;0,4563;0,4653;0,4521;0,4193;0,3711;0,3129;0,2518;0,1948;0,1462;0,1076;0,0783;0,0567;0,0409;0,0298;0,0222;0,0170;0,0135;0,0110;0,0094;0,0080;0,0070;0,0064;0,0058;0,0054;0,0051;0,0048;0,0046;0,0044;0,0043;0,0041;0,0040;0,0040;0,0038;0,0038;0,0037;0,0036;0,0035;0,0035;0,0034;0,0034;0,0033;0,0033;0,0033;0,0032;
8;Sample;delta-rbp1 #6_2;2024.03.13 12:43;;0,4564;0,4749;0,4932;0,5144;0,5382;0,5635;0,5888;0,6127;0,6333;0,6506;0,6652;0,6779;0,6900;0,7025;0,7161;0,7307;0,7450;0,7576;0,7658;0,7676;0,7613;0,7458;0,7218;0,6904;0,6539;0,6152;0,5767;0,5416;0,5114;0,4873;0,4698;0,4587;0,4538;0,4540;0,4576;0,4605;0,4669;0,4696;0,4684;0,4621;0,4505;0,4338;0,4131;0,3897;0,3650;0,3405;0,3172;0,2960;0,2772;0,2608;0,2461;0,2323;0,2185;0,2041;0,1887;0,1724;0,1556;0,1389;0,1228;0,1077;0,0941;0,0819;0,0716;0,0628;0,0557;0,0500;0,0453;0,0416;0,0385;0,0360;0,0340;0,0324;0,0312;0,0302;0,0295;0,0291;0,0290;0,0292;0,0298;0,0306;0,0318;0,0332;0,0348;0,0367;0,0385;0,0403;0,0421;0,0439;0,0457;0,0474;0,0492;0,0508;0,0523;0,0537;0,0550;0,0564;0,0580;0,0601;0,0628;0,0662;0,0703;0,0749;0,0800;0,0853;0,0904;0,0950;0,0988;0,1016;0,1033;0,1038;0,1034;0,1023;0,1007;0,0991;0,0977;0,0967;0,0962;0,0962;0,0968;0,0981;0,1003;0,1040;0,1099;0,1193;0,1336;0,1544;0,1824;0,2183;0,2606;0,3074;0,3545;0,3955;0,4226;0,4309;0,4186;0,3880;0,3432;0,2892;0,2325;0,1796;0,1346;0,0987;0,0716;0,0516;0,0370;0,0266;0,0195;0,0147;0,0114;0,0092;0,0075;0,0063;0,0054;0,0047;0,0043;0,0039;0,0036;0,0034;0,0032;0,0030;0,0028;0,0027;0,0026;0,0025;0,0024;0,0023;0,0023;0,0022;0,0022;0,0021;0,0021;0,0020;0,0020;0,0020;0,0019;0,0019;
9;Sample;delta-rbp1 #6_3;2024.03.13 12:43;;0,5101;0,5306;0,5505;0,5738;0,5999;0,6277;0,6554;0,6812;0,7038;0,7229;0,7388;0,7527;0,7659;0,7793;0,7941;0,8096;0,8248;0,8384;0,8474;0,8498;0,8432;0,8272;0,8019;0,7689;0,7301;0,6885;0,6471;0,6091;0,5761;0,5497;0,5302;0,5177;0,5120;0,5119;0,5157;0,5183;0,5252;0,5282;0,5269;0,5203;0,5077;0,4895;0,4667;0,4409;0,4134;0,3860;0,3597;0,3356;0,3141;0,2951;0,2782;0,2622;0,2465;0,2301;0,2127;0,1945;0,1759;0,1576;0,1398;0,1231;0,1081;0,0947;0,0833;0,0737;0,0660;0,0596;0,0546;0,0505;0,0472;0,0445;0,0423;0,0406;0,0392;0,0382;0,0374;0,0370;0,0369;0,0371;0,0378;0,0387;0,0400;0,0415;0,0433;0,0453;0,0473;0,0493;0,0512;0,0532;0,0551;0,0570;0,0589;0,0607;0,0623;0,0637;0,0651;0,0665;0,0683;0,0705;0,0735;0,0772;0,0816;0,0867;0,0923;0,0980;0,1036;0,1086;0,1128;0,1159;0,1177;0,1183;0,1178;0,1166;0,1149;0,1131;0,1116;0,1104;0,1099;0,1099;0,1106;0,1120;0,1145;0,1185;0,1250;0,1352;0,1508;0,1734;0,2040;0,2431;0,2893;0,3402;0,3915;0,4360;0,4656;0,4746;0,4614;0,4284;0,3797;0,3209;0,2590;0,2012;0,1518;0,1125;0,0828;0,0608;0,0447;0,0334;0,0256;0,0203;0,0167;0,0143;0,0126;0,0112;0,0103;0,0096;0,0090;0,0086;0,0083;0,0080;0,0078;0,0076;0,0074;0,0073;0,0072;0,0071;0,0071;0,0070;0,0069;0,0069;0,0068;0,0068;0,0067;0,0067;0,0067;0,0067;0,0066;0,0066;
